month year,Pcs / Pk,Quantity,UnitPrice,OTIF,Embelishment Cost,TotalQuantity,TotalSales
1/1/2020,7,25000,6.03,,0.175,175000,1055250
1/1/2020,1,2190,2.55,,0.154,2190,5584.5
1/1/2020,7,7925,6.03,,0.206,55475,334514.25
1/1/2020,7,19250,6.03,,0.185,134750,812542.5
1/1/2020,3,9350,5.89,,0.051,28050,165214.5
1/1/2020,7,13000,6.03,,0.154,91000,548730
1/1/2020,7,5000,6.03,,0.155,35000,211050
3/1/2020,2,12000,2,,,24000,48000
3/1/2020,3,2750,2.78,,,8250,22935
3/1/2020,3,3500,2.78,,,10500,29190
3/1/2020,3,4300,2.33,,,12900,30057
3/1/2020,3,13675,2.33,,,41025,95588.25
3/1/2020,3,5700,2.33,,,17100,39843
3/1/2020,3,3450,2.37,,,10350,24529.5
3/1/2020,3,4050,2.37,,,12150,28795.5
3/1/2020,3,12650,5.89,,0.052,37950,223525.5
3/1/2020,3,15000,5.89,,0.052,45000,265050
3/1/2020,7,8000,6.03,,0.175,56000,337680
3/1/2020,3,5000,5.89,,0.051,15000,88350
3/1/2020,3,52100,5.89,,0.1,156300,920607
3/1/2020,7,19900,6.03,,0.155,139300,839979
3/1/2020,7,11275,6.03,,0.155,78925,475917.75
3/1/2020,7,12500,6.03,,0.155,87500,527625
3/1/2020,3,20775,5.89,,0.05,62325,367094.25
3/1/2020,7,25300,6.03,,0.123,177100,1067913
8/1/2020,3,15000,2.54,,0.042,45000,114300
8/1/2020,7,15500,6.08,,0.165,108500,659680
8/1/2020,7,34500,6.08,,0.299,241500,1468320
8/1/2020,3,7760,4.53,,0.278,23280,105458.4
12/1/2020,3,23550,5.9,,0.1,70650,416835
12/1/2020,3,5025,2.24,,,15075,33768
12/1/2020,7,3750,6.08,,0.32,26250,159600
12/1/2020,7,28025,6.08,,0.185,196175,1192744
12/1/2020,7,19775,6.03,,0.27,138425,834702.75
12/1/2020,7,17500,6.08,,0.103,122500,744800
12/1/2020,3,14600,2.1,,0.309,43800,91980
12/1/2020,3,11375,4.48,,0.237,34125,152880
12/1/2020,2,24500,2.96,,0.23,49000,145040
7/1/2020,3,5000,2.54,,0.042,15000,38100
7/1/2020,7,900,6.08,,0.165,6300,38304
7/1/2020,7,15200,6.08,,0.299,106400,646912
7/1/2020,3,250,5.89,,0.1,750,4417.5
6/1/2020,3,33500,2.54,,0.042,100500,255270
6/1/2020,3,1700,2.33,,,5100,11883
6/1/2020,3,8650,5.89,,0.1,25950,152845.5
5/1/2020,3,2200,2.78,,,6600,18348
5/1/2020,3,2800,2.78,,,8400,23352
5/1/2020,3,4300,2.33,,,12900,30057
5/1/2020,3,5700,2.33,,,17100,39843
5/1/2020,3,2200,2.37,,,6600,15642
5/1/2020,3,2800,2.37,,,8400,19908
5/1/2020,3,7500,5.89,,0.052,22500,132525
5/1/2020,7,14350,6.03,,0.155,100450,605713.5
5/1/2020,7,2500,6.03,,0.155,17500,105525
11/1/2020,7,9450,6.08,,0.32,66150,402192
11/1/2020,7,20525,6.08,,0.185,143675,873544
11/1/2020,7,12025,6.03,,0.27,84175,507575.25
11/1/2020,7,12525,6.08,,0.103,87675,533064
11/1/2020,7,10000,6.03,,0.353,70000,422100
10/1/2020,7,19950,6.08,,0.32,139650,849072
10/1/2020,7,23500,6.08,,0.165,164500,1000160
10/1/2020,7,32000,6.03,,0.353,224000,1350720
10/1/2020,3,980,4.53,,0.21,2940,13318.2
9/1/2020,3,15000,2.54,,0.042,45000,114300
9/1/2020,7,9750,6.08,,0.32,68250,414960
9/1/2020,7,3000,6.08,,0.165,21000,127680
9/1/2020,7,7500,6.08,,0.299,52500,319200
9/1/2020,7,16550,6.03,,0.353,115850,698575.5
9/1/2020,3,4020,4.53,,0.21,12060,54631.8
9/1/2020,3,7240,4.53,,0.278,21720,98391.6
2/1/2021,7,9625,6.08,,0.185,67375,409640
1/1/2021,3,35525,5.9,,0.1,106575,628792.5
1/1/2021,7,38025,6.08,,0.185,266175,1618344
1/1/2021,7,5500,6.03,,0.27,38500,232155
1/1/2021,7,5525,6.08,,0.103,38675,235144
1/1/2021,7,9125,6.08,,0.185,63875,388360
1/1/2021,3,16350,4.48,,0.237,49050,219744
3/1/2021,3,2500,5.9,,0.175,7500,44250
3/1/2021,3,19025,2.24,,,57075,127848
3/1/2021,7,7500,6.08,,0.103,52500,319200
3/1/2021,7,38000,6.08,,0.185,266000,1617280
3/1/2021,3,7275,4.48,,0.237,21825,97776
4/1/2021,3,12750,5.9,0.75,0.175,38250,225675
4/1/2021,3,13500,5.9,,0.1,40500,238950
4/1/2021,3,37050,2.24,1.00,,111150,248976
4/1/2021,7,23675,6.08,1.00,0.093,165725,1007608
4/1/2021,7,15750,6.08,1.00,0.154,110250,670320
4/1/2021,7,8000,6.08,,0.103,56000,340480
4/1/2021,7,5000,6.08,1.00,0.185,35000,212800
4/1/2021,3,2375,4.48,1.00,0.237,7125,31920
8/1/2021,3,8600,6.28,,0.354,25800,162024
8/1/2021,3,40000,2.24,1.00,,120000,268800
8/1/2021,3,7300,6.16,,0.241,21900,134904
8/1/2021,5,21900,5.18,,0.185,109500,567210
8/1/2021,7,975,6.38,0.00,0.185,6825,43543.5
8/1/2021,7,16100,6.4,1.00,0.108,112700,721280
8/1/2021,7,9200,6.38,1.00,0.201,64400,410872
8/1/2021,7,2400,6.4,0.00,0.185,16800,107520
8/1/2021,3,10678,4.98,,0.227,32034,159529.32
12/1/2021,3,12700,3,,,38100,114300
12/1/2021,3,8475,3.05,,,25425,77546.25
12/1/2021,7,30050,6.77,,0.154,210350,1424069.5
12/1/2021,7,7500,6.99,,0.15,52500,366975
12/1/2021,7,22950,6.88,,0.154,160650,1105272
7/1/2021,3,8100,6.28,0.43,0.354,24300,152604
7/1/2021,3,23300,6.16,0.42,0.241,69900,430584
